Id	Sentence	Expert Judgement	Crowd Flower Judgements	Average	Dataset
1	If the teacher once entered in to the class she should be well preaperd of what she is going to explain.	3	[3, 3, 3, 4, 2]	3.0	train
2	So I think we can not live if old people could not find siences and tecnologies and they did not developped.	2	[2, 2, 1, 2, 3]	2.0	test
3	New and new technology has been introduced to the society.	3	[3, 4, 3, 3, 2]	3.0	dev
4	For not use car.	1	[3, 4, 3, 4, 3]	3.0	test
5	Here was no promise of morning except that we looked up through the trees we saw how low the forest had swung.	3	[2, 4, 3, 2, 3]	2.8333333333333335	test
6	Students can improve themselves by thinking on a subject that they learn the major ideas, they will become more creative and more observer and that characteristics obviosly help them during their life time.	3	[3, 3, 3, 3, 2]	2.8333333333333335	train
7	then, it gets spread area.	2	[3, 1, 2, 3, 3]	2.3333333333333335	train
8	One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries.	4	[3, 4, 3, 4, 3]	3.5	dev
9	Goverment should check of the information that advertisment give to people.	3	[3, 3, 3, 2, 3]	2.8333333333333335	train
10	Thus even today sex is considered as the least important topic in many parts of India.	4	[4, 3, 4, 3, 3]	3.5	test
11	i was offered a variety af subjects.	4	[3, 4, 4, 3, 3]	3.5	train
12	Every person needs to know a bit about math, sciences, arts, literature and history in order to stand out in society.	4	[4, 4, 4, 3, 4]	3.8333333333333335	dev
13	If they change them, the story will collape and be incorrect information.	3	[3, 3, 4, 4, 3]	3.3333333333333335	train
14	However, now many car companies struggle to develop an eco-car, such as Prius of Toyota.	4	[3, 3, 4, 4, 3]	3.5	train
15	However, I do not agree with the statement by the following reasons.	3	[3, 3, 3, 3, 3]	3.0	train
16	image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy , becouse u dont know more than pot taire in car .	2	[3, 1, 1, 2, 1]	1.6666666666666667	test
17	One example can be given from the Computer Sciences where a lot of conceptual understanding is required rather than just learning the facts of how to code a software program such as learning the semantical fundementals of a programming language.	4	[3, 3, 4, 4, 4]	3.6666666666666665	train
18	While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends, it is highly unlikely, that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive.	3	[4, 4, 2, 3, 3]	3.1666666666666665	dev
19	Disadvantage is parking their car is very difficult.	3	[3, 2, 3, 1, 3]	2.5	dev
20	They draw the consumers, like me, to purchase this great product with all these amazing ingredients and all that but actually they just sometimes make something up just to increase their sales.	4	[3, 3, 4, 3, 2]	3.1666666666666665	test
21	"This is an easy way of life, because they make only the ""secure"" things."	4	[3, 3, 4, 4, 4]	3.6666666666666665	train
22	I want to talk about nocive or bad products like alcohol, hair spray and cigarrets.	2	[3, 3, 2, 3, 3]	2.6666666666666665	test
23	For example they can play football whenever they want but the olders can not.	3	[3, 3, 4, 3, 3]	3.1666666666666665	test
24	if the quality of the product is good and it is worth using customer will definetly buy it.	3	[3, 3, 3, 3, 3]	3.0	train
25	This isnt very helpfull cause the owner needs to spend more money on transport and goods for the workers.	4	[3, 3, 2, 3, 3]	3.0	train
26	Bigger farming are use more chemical product and substance to feed fish .	3	[3, 4, 2, 3, 3]	3.0	dev
27	Whereas, a community for the old and underprivleged would want help, aid and assistence from the youth.	3	[3, 3, 3, 3, 4]	3.1666666666666665	train
28	If our scintist may not take the risk then how we can develope the new things and how we can make our life very comfartable and enjoyful.	3	[2, 3, 3, 2, 2]	2.5	train
29	For example, if people wants to go traveling by plane, which will be definitely a popular transportation in the future, they have to drive a car or take a taxi or a bus to the airport.	3	[3, 3, 4, 4, 3]	3.3333333333333335	train
30	Forexample, My cousin is 12years old.	4	[3, 3, 3, 3, 3]	3.1666666666666665	dev
31	Finally student become more knowladgable and confident about knowladge.	3	[3, 3, 3, 2, 2]	2.6666666666666665	train
32	It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club, not necessarily of Rolex watch wearers, but of highly talented, sophisticated and competent artists, he or she should also have a Rolex.	4	[3, 3, 3, 3, 3]	3.1666666666666665	test
33	When we started evaluating on those to drop and those not to, I had dropped about a lot and now I can concetrate much better with the little I offer.	3	[3, 3, 4, 2, 2]	2.8333333333333335	train
34	if it does, you will only get some misundrestood idea about that acticle but not the original one.	3	[3, 3, 4, 3, 3]	3.1666666666666665	dev
35	Secondly, chimp can also present the capability for grammer which means it can demonstrate the ability to combine words and be able to use grammatical constructions.	3	[3, 3, 4, 3, 3]	3.1666666666666665	dev
36	Nevertheless, this city is having a big change.	4	[3, 4, 3, 4, 4]	3.6666666666666665	dev
37	I think to learn facts is only an evidence if the students can work hard and if they are able to keep every detailled information as tought, but it's definitly not an evidence for their intelligence.	3	[3, 4, 3, 2, 2]	2.8333333333333335	dev
38	Unforturntly, almost older people can not use internet, in spite of benefit of internet.	3	[3, 2, 3, 3, 3]	2.8333333333333335	dev
39	Facts can learn through many books.	3	[3, 3, 2, 3, 2]	2.6666666666666665	train
40	So, if i have alot of information about this subject , i will taulk too much with knowledge but if i have general information for this subject , i will talk about this subjec with my limited knowlege and this case may be make me shame like when my brother asked me about some thing but i have not alot of information about this thing.	3	[1, 3, 3, 3, 3]	2.6666666666666665	dev
41	becuse if i see some one did somthing to may safe me time and engy and it wok's i will do it .	2	[2, 2, 3, 2, 3]	2.3333333333333335	dev
42	But when i finished medical school i was only able to specialize in one field because you can never master all what you have studied in medical school, which makes sense in a way or else there would be no specialities in medicine.	3	[3, 3, 3, 3, 2]	2.8333333333333335	train
43	Maybe some of them just couldnt graduate from a single academic course but this is because he is not that type of human.	3	[3, 3, 3, 3, 1]	2.6666666666666665	train
44	He/she is simply left with no time to cope with mundane things, leave alone the community he/she lives in!	3	[4, 3, 4, 4, 3]	3.5	train
45	There are several reason.	3	[4, 3, 3, 3, 4]	3.3333333333333335	test
46	According to the reading the dinosaur is not an endotherm.	4	[3, 3, 3, 4, 1]	3.0	train
47	The government should think about the whole nature.	3	[2, 4, 4, 3, 4]	3.3333333333333335	dev
48	However instead of going for the class and having a good idea of what psycology is and some theories explaied concepts of it I rather memorized all of them.	2	[3, 3, 3, 3, 2]	2.6666666666666665	train
49	This will give him the oportunity to find a good job related to his familiar abilities.	4	[4, 4, 3, 4, 3]	3.6666666666666665	train
50	They will not be able to compete with other similar brands and the product will fizzle out or die.	4	[4, 4, 4, 4, 4]	4.0	dev
51	People are now opening their eyes to the scenario when we would run out of fuel.	4	[4, 4, 4, 3, 3]	3.6666666666666665	dev
52	Also the work of the media, television, magazines, and every stuff made for publicity affects the emotions of many people around the world, encouraging them to buy and buy anything they can.	3	[3, 2, 4, 3, 4]	3.1666666666666665	test
53	but through high fuel efficieny point lecture cast doubt on the reading passage.	3	[1, 3, 1, 2, 2]	2.0	train
54	For me it was great because I need to talk on the phone locally and nationally for long periods of time.	4	[4, 4, 4, 4, 4]	4.0	dev
55	Since most urban areas are occupied with cars, they are all facing up with an irresistible problem of air and noise pollution.	3	[3, 3, 4, 3, 3]	3.1666666666666665	test
56	But experts believe that it was a result of erosion that happened when Egypt's weather condition was	0	[]	0.0	none
57	It is true that consumers preffer to buy a product that has a lower price, but when international companies that has already the certification begins to send its market , people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much.	3	[3, 3, 2, 3, 1]	2.5	test
58	4:they have a big chance to prepare for their future life	4	[3, 3, 2, 3, 2]	2.8333333333333335	test
